movieid	g1	g2	g3	g4	g5	director	s1	s2	s3	s4	language
231	Adventure	Comedy	null	null	"null"	"Peter Farrelly"	"Jim Carrey"	"Jeff Daniels"	"Lauren Holly"	"Mike Starr"	"English"
235	Comedy	Drama	null	null	"null"	"Tim Burton"	"Johnny Depp"	"Martin Landau"	"Patricia Arquette"	"Sarah Jessica Parker"	"English"
253	Drama	Horror	null	null	"null"	"Neil Jordan"	"Tom Cruise"	"Brad Pitt"	"Kirsten Dunst"	"Stephen Rea"	"English"
260	Action	Adventure	Sci-Fi	null	"null"	"George Lucas"	"Mark Hamill"	"Harrison Ford"	"Carrie Fisher"	"Peter Cushing"	"English"
288	Action	Crime	Thriller	null	"null"	"Oliver Stone"	"Woody Harrelson"	"Juliette Lewis"	"Rodney Dangerfield"	"Tommy Lee Jones"	"English"
292	Action	Drama	Sci-Fi	Thriller	"null"	"Wolfgang Petersen"	"Morgan Freeman"	"Dustin Hoffman"	"Kevin Spacey"	"Rene Russo"	"English"
293	Action	Crime	Drama	Thriller	"null"	"Luc Besson"	"Jean Reno"	"Gary Oldman"	"Natalie Portman"	"Danny Aiello"	"English"
296	Comedy	Crime	Drama	Thriller	"null"	"Quentin Tarantino"	"John Travolta"	"Samuel L. Jackson"	"Tim Roth"	"Amanda Plummer"	"English"
316	Action	Adventure	Sci-Fi	null	"null"	"Roland Emmerich"	"Kurt Russell"	"James Spader"	"Alexis Cruz"	"Viveca Lindfors"	"English"
318	Crime	Drama	null	null	"null"	"Frank Darabont"	"Tim Robbins"	"Morgan Freeman"	"Bob Gunton"	"William Sadler"	"English"
344	Comedy	null	null	null	"null"	"Tom Shadyac"	"Jim Carrey"	"Courteney Cox"	"Sean Young"	"Tone Loc"	"English"
349	Action	Adventure	Thriller	null	"null"	"Phillip Noyce"	"Harrison Ford"	"Willem Dafoe"	"Anne Archer"	"Joaquim de Almeida"	"English"
356	Comedy	Drama	Romance	War	"null"	"Robert Zemeckis"	"Tom Hanks"	"Gary Sinise"	"Mykelti Williamson"	"Robin Wright Penn"	"English"
357	Comedy	Romance	null	null	"null"	"Mike Newell"	"Hugh Grant"	"John Hannah"	"Kristin Scott Thomas"	"Andie MacDowell"	"English"
364	Adventure	Animation	Children	Drama	"IMAX"	"Roger Allers"	"Matthew Broderick"	"James Earl Jones"	"Rowan Atkinson"	"Jonathan Taylor Thomas"	"English"
367	Action	Comedy	Crime	Fantasy	"null"	"Chuck Russell"	"Jim Carrey"	"Peter Greene"	"Peter Riegert"	"Amy Yasbeck"	"English"
377	Action	Romance	Thriller	null	"null"	"Jan de Bont"	"Dennis Hopper"	"Joe Morton"	"Keanu Reeves"	"Sandra Bullock"	"English"
380	Action	Adventure	Comedy	Romance	"Thriller"	"James Cameron"	"Arnold Schwarzenegger"	"Jamie Lee Curtis"	"Tom Arnold"	"Bill Paxton"	"English"
434	Action	Adventure	Thriller	null	"null"	"Renny Harlin"	"John Lithgow"	"Michael Rooker"	"Sylvester Stallone"	"Janine Turner"	"English"
454	Drama	Thriller	null	null	"null"	"Sydney Pollack"	"Tom Cruise"	"Gene Hackman"	"Hal Holbrook"	"Jeanne Tripplehorn"	"English"
457	Thriller	null	null	null	"null"	"Andrew Davis"	"Harrison Ford"	"Tommy Lee Jones"	"Julianne Moore"	"Sela Ward"	"English"
474	Action	Thriller	null	null	"null"	"Wolfgang Petersen"	"Clint Eastwood"	"John Malkovich"	"Dylan McDermott"	"Rene Russo"	"English"
480	Action	Adventure	Sci-Fi	Thriller	"null"	"Steven Spielberg"	"Richard Attenborough"	"Jeff Goldblum"	"Sam Neill"	"Laura Dern"	"English"
500	Comedy	Drama	null	null	"null"	"Chris Columbus"	"Robin Williams"	"Sally Field"	"Pierce Brosnan"	"Harvey Fierstein"	"English"
508	Drama	null	null	null	"null"	"Jonathan Demme"	"Tom Hanks"	"Denzel Washington"	"Jason Robards"	"Robert Ridgely"	"English"
527	Drama	War	null	null	"null"	"Steven Spielberg"	"Ralph Fiennes"	"Ben Kingsley"	"Liam Neeson"	"Caroline Goodall"	"English"
539	Comedy	Drama	Romance	null	"null"	"Nora Ephron"	"Tom Hanks"	"Meg Ryan"	"Bill Pullman"	"Ross Malinger"	"English"
541	Action	Film-Noir	Sci-Fi	Thriller	"null"	"Ridley Scott"	"Harrison Ford"	"Rutger Hauer"	"Edward James Olmos"	"Sean Young"	"English"
586	Children	Comedy	null	null	"null"	"Chris Columbus"	"Macaulay Culkin"	"John Heard"	"Joe Pesci"	"Daniel Stern"	"English"
587	Comedy	Drama	Fantasy	Romance	"Thriller"	"Jerry Zucker"	"Patrick Swayze"	"Demi Moore"	"Whoopi Goldberg"	"Tony Goldwyn"	"English"
588	Adventure	Animation	Children	Comedy	"Musical"	"Ron Clements"	"Jonathan Freeman"	"Scott Weinger"	"Robin Williams"	"Linda Larkin"	"English"
589	Action	Sci-Fi	null	null	"null"	"James Cameron"	"Arnold Schwarzenegger"	"Linda Hamilton"	"Edward Furlong"	"Robert Patrick"	"English"
590	Adventure	Drama	Western	null	"null"	"Kevin Costner"	"Kevin Costner"	"Rodney A. Grant"	"Graham Greene"	"Mary McDonnell"	"null"
592	Action	Crime	Sci-Fi	Thriller	"null"	"Tim Burton"	"Michael Keaton"	"Jack Nicholson"	"Robert Wuhl"	"Kim Basinger"	"English"
593	Crime	Horror	Thriller	null	"null"	"Jonathan Demme"	"Jodie Foster"	"Anthony Hopkins"	"Scott Glenn"	"Anthony Heald"	"English"
594	Animation	Children	Drama	Fantasy	"Musical"	"David Hand"	"Adriana Caselotti"	"Lucille La Verne"	"Roy Atwell"	"Eddie Collins"	"English"
595	Animation	Children	Fantasy	IMAX	"Musical"	"Gary Trousdale"	"Robby Benson"	"Jerry Orbach"	"Richard White"	"Paige OHara"	"English"
597	Comedy	Romance	null	null	"null"	"Garry Marshall"	"Julia Roberts"	"Richard Gere"	"Jason Alexander"	"Ralph Bellamy"	"English"
608	Comedy	Crime	Drama	Thriller	"null"	"Joel Coen"	"William H. Macy"	"Frances McDormand"	"Steve Buscemi"	"Peter Stormare"	"English"
648	Action	Adventure	Mystery	Thriller	"null"	"Brian De Palma"	"Tom Cruise"	"Henry Czerny"	"Jon Voight"	"Emmanuelle BÃ©art"	"English"
733	Action	Adventure	Thriller	null	"null"	"Michael Bay"	"Sean Connery"	"Nicolas Cage"	"Ed Harris"	"John Spencer"	"English"
736	Action	Adventure	Romance	Thriller	"null"	"Jan de Bont"	"Helen Hunt"	"Bill Paxton"	"Cary Elwes"	"Jami Gertz"	"English"
750	Comedy	War	null	null	"null"	"Stanley Kubrick"	"Peter Sellers"	"George C. Scott"	"Sterling Hayden"	"Slim Pickens"	"English"
778	Comedy	Crime	Drama	null	"null"	"Danny Boyle"	"Ewan McGregor"	"Jonny Lee Miller"	"Ewen Bremner"	"Kevin McKidd"	"English"
780	Action	Adventure	Sci-Fi	Thriller	"null"	"Roland Emmerich"	"Will Smith"	"Bill Pullman"	"Jeff Goldblum"	"Mary McDonnell"	"English"
788	Comedy	Fantasy	Romance	Sci-Fi	"null"	"Tom Shadyac"	"James Coburn"	"Larry Miller"	"Eddie Murphy"	"Jada Pinkett Smith"	"English"
832	Action	Crime	Drama	Thriller	"null"	"Ron Howard"	"Mel Gibson"	"Brawley Nolte"	"Gary Sinise"	"Rene Russo"	"English"
858	Crime	Drama	null	null	"null"	"Francis Ford Coppola"	"Marlon Brando"	"Al Pacino"	"James Caan"	"Richard S. Castellano"	"null"
903	Drama	Mystery	Romance	Thriller	"null"	"Alfred Hitchcock"	"James Stewart"	"Barbara Bel Geddes"	"Kim Novak"	"Tom Helmore"	"English"
904	Mystery	Thriller	null	null	"null"	"Alfred Hitchcock"	"James Stewart"	"Grace Kelly"	"Thelma Ritter"	"Wendell Corey"	"English"
908	Action	Adventure	Mystery	Romance	"Thriller"	"Alfred Hitchcock"	"Cary Grant"	"Eva Marie Saint"	"James Mason"	"Jessie Royce Landis"	"English"
912	Drama	Romance	null	null	"null"	"Michael Curtiz"	"Humphrey Bogart"	"Ingrid Bergman"	"Paul Henreid"	"Claude Rains"	"English"
919	Adventure	Children	Fantasy	Musical	"null"	"Victor Fleming"	"Judy Garland"	"Frank Morgan"	"Ray Bolger"	"Bert Lahr"	"English"
923	Drama	Mystery	null	null	"null"	"Orson Welles"	"Orson Welles"	"Joseph Cotten"	"Dorothy Comingore"	"Agnes Moorehead"	"English"
924	Adventure	Drama	Sci-Fi	null	"null"	"Stanley Kubrick"	"Keir Dullea"	"Gary Lockwood"	"William Sylvester"	"Daniel Richter"	"null"
953	Drama	Fantasy	Romance	null	"null"	"Frank Capra"	"James Stewart"	"Donna Reed"	"Lionel Barrymore"	"Thomas Mitchell"	"English"
1036	Action	Crime	Thriller	null	"null"	"John McTiernan"	"Bruce Willis"	"Bonnie Bedelia"	"Alan Rickman"	"William Atherton"	"English"
1073	Children	Comedy	Fantasy	Musical	"null"	"Mel Stuart"	"Gene Wilder"	"Peter Ostrum"	"Jack Albertson"	"Julie Dawn Cole"	"English"
1079	Comedy	Crime	null	null	"null"	"John Cleese"	"John Cleese"	"Kevin Kline"	"Michael Palin"	"Jamie Lee Curtis"	"English"
1089	Crime	Mystery	Thriller	null	"null"	"Quentin Tarantino"	"Harvey Keitel"	"Tim Roth"	"Michael Madsen"	"Chris Penn"	"English"
1090	Drama	War	null	null	"null"	"Oliver Stone"	"Tom Berenger"	"Willem Dafoe"	"Charlie Sheen"	"Forest Whitaker"	"English"
1092	Crime	Mystery	Thriller	null	"null"	"Paul Verhoeven"	"Michael Douglas"	"Sharon Stone"	"George Dzundza"	"Jeanne Tripplehorn"	"English"
1097	Children	Drama	Sci-Fi	null	"null"	"Steven Spielberg"	"Henry Thomas"	"Dee Wallace-Stone"	"Robert MacNaughton"	"Drew Barrymore"	"English"
1101	Action	Romance	null	null	"null"	"Tony Scott"	"Tom Cruise"	"Kelly McGillis"	"Anthony Edwards"	"Val Kilmer"	"English"
1127	Action	Adventure	Sci-Fi	Thriller	"null"	"James Cameron"	"Michael Biehn"	"Leo Burmester"	"Ed Harris"	"Mary Elizabeth Mastrantonio"	"English"
1136	Comedy	null	null	null	"null"	"Terry Gilliam"	"Graham Chapman"	"John Cleese"	"Eric Idle"	"Terry Gilliam"	"English"
1193	Drama	null	null	null	"null"	"Milos Forman"	"Jack Nicholson"	"Michael Berryman"	"Peter Brocco"	"Dean R. Brooks"	"English"
1196	Action	Adventure	Sci-Fi	null	"null"	"Irvin Kershner"	"Mark Hamill"	"Harrison Ford"	"Carrie Fisher"	"Billy Dee Williams"	"English"
1197	Action	Adventure	Comedy	Fantasy	"Romance"	"Rob Reiner"	"Cary Elwes"	"Christopher Guest"	"Mandy Patinkin"	"Chris Sarandon"	"English"
1198	Action	Adventure	null	null	"null"	"Steven Spielberg"	"Harrison Ford"	"Karen Allen"	"Paul Freeman"	"John Rhys-Davies"	"English"
1200	Action	Horror	Sci-Fi	Thriller	"null"	"James Cameron"	"Michael Biehn"	"Lance Henriksen"	"Paul Reiser"	"Sigourney Weaver"	"English"
1206	Crime	Drama	Sci-Fi	Thriller	"null"	"Stanley Kubrick"	"Malcolm McDowell"	"Patrick Magee"	"Michael Bates"	"Warren Clarke"	"English"
1208	Action	Drama	War	null	"null"	"Francis Ford Coppola"	"Marlon Brando"	"Robert Duvall"	"Frederic Forrest"	"Martin Sheen"	"English"
1210	Action	Adventure	Sci-Fi	null	"null"	"Richard Marquand"	"Harrison Ford"	"Mark Hamill"	"Billy Dee Williams"	"Carrie Fisher"	"English"
1213	Crime	Drama	null	null	"null"	"Martin Scorsese"	"Robert De Niro"	"Ray Liotta"	"Joe Pesci"	"Lorraine Bracco"	"English"
1214	Action	Horror	Sci-Fi	Thriller	"null"	"Ridley Scott"	"Sigourney Weaver"	"Tom Skerritt"	"Harry Dean Stanton"	"Veronica Cartwright"	"English"
1219	Horror	Thriller	null	null	"null"	"Alfred Hitchcock"	"Anthony Perkins"	"Janet Leigh"	"Vera Miles"	"John Gavin"	"English"
1220	Action	Comedy	Musical	null	"null"	"John Landis"	"Dan Aykroyd"	"John Belushi"	"James Brown"	"Cab Calloway"	"English"
1221	Crime	Drama	null	null	"null"	"Francis Ford Coppola"	"Al Pacino"	"Robert Duvall"	"Diane Keaton"	"Robert De Niro"	"null"
1222	Drama	War	null	null	"null"	"Stanley Kubrick"	"Adam Baldwin"	"Vincent DOnofrio"	"R. Lee Ermey"	"Matthew Modine"	"English"
1225	Drama	null	null	null	"null"	"Milos Forman"	"F. Murray Abraham"	"Simon Callow"	"Tom Hulce"	"Elizabeth Berridge"	"English"
1240	Action	Sci-Fi	Thriller	null	"null"	"James Cameron"	"Michael Biehn"	"Arnold Schwarzenegger"	"Paul Winfield"	"Linda Hamilton"	"English"
1246	Drama	null	null	null	"null"	"Peter Weir"	"Josh Charles"	"Ethan Hawke"	"Robert Sean Leonard"	"Robin Williams"	"English"
1247	Comedy	Drama	Romance	null	"null"	"Mike Nichols"	"Dustin Hoffman"	"Anne Bancroft"	"Katharine Ross"	"William Daniels"	"English"
1258	Horror	Thriller	null	null	"null"	"Stanley Kubrick"	"Jack Nicholson"	"Shelley Duvall"	"Danny Lloyd"	"Scatman Crothers"	"English"
1259	Adventure	Drama	null	null	"null"	"Rob Reiner"	"Corey Feldman"	"River Phoenix"	"Wil Wheaton"	"Jerry OConnell"	"English"
1265	Comedy	Fantasy	Romance	null	"null"	"Harold Ramis"	"Bill Murray"	"Andie MacDowell"	"Chris Elliott"	"Stephen Tobolowsky"	"English"
1266	Drama	Western	null	null	"null"	"Clint Eastwood"	"Clint Eastwood"	"Gene Hackman"	"Morgan Freeman"	"Richard Harris"	"English"
1270	Adventure	Comedy	Sci-Fi	null	"null"	"Robert Zemeckis"	"Michael J. Fox"	"Crispin Glover"	"Christopher Lloyd"	"Lea Thompson"	"English"
1278	Action	Comedy	Horror	null	"null"	"Mel Brooks"	"Peter Boyle"	"Marty Feldman"	"Gene Wilder"	"Madeline Kahn"	"English"
1288	Comedy	null	null	null	"null"	"Rob Reiner"	"Michael McKean"	"Christopher Guest"	"Harry Shearer"	"Rob Reiner"	"English"
1291	Action	Adventure	null	null	"null"	"Steven Spielberg"	"Harrison Ford"	"Sean Connery"	"John Rhys-Davies"	"River Phoenix"	"English"
1304	Action	Comedy	Western	null	"null"	"George Roy Hill"	"Paul Newman"	"Robert Redford"	"Katharine Ross"	"Strother Martin"	"English"
1307	Comedy	Romance	null	null	"null"	"Rob Reiner"	"Billy Crystal"	"Meg Ryan"	"Carrie Fisher"	"Bruno Kirby"	"English"
1333	Horror	null	null	null	"null"	"Alfred Hitchcock"	"Rod Taylor"	"Tippi Hedren"	"Suzanne Pleshette"	"Jessica Tandy"	"English"
1339	Fantasy	Horror	Romance	Thriller	"null"	"Francis Ford Coppola"	"Gary Oldman"	"Winona Ryder"	"Anthony Hopkins"	"Keanu Reeves"	"English"
1345	Drama	Fantasy	Horror	Thriller	"null"	"Brian De Palma"	"William Katt"	"Amy Irving"	"Piper Laurie"	"Sissy Spacek"	"English"
1370	Action	Adventure	Thriller	null	"null"	"Renny Harlin"	"William Atherton"	"Reginald VelJohnson"	"Bruce Willis"	"Bonnie Bedelia"	"English"
1374	Action	Adventure	Sci-Fi	Thriller	"null"	"Nicholas Meyer"	"William Shatner"	"Leonard Nimoy"	"DeForest Kelley"	"James Doohan"	"English"
1377	Action	Crime	Fantasy	Mystery	"Romance"	"Tim Burton"	"Danny DeVito"	"Michael Keaton"	"Christopher Walken"	"Michelle Pfeiffer"	"English"
1380	Comedy	Musical	Romance	null	"null"	"Randal Kleiser"	"John Travolta"	"Olivia Newton-John"	"Jeff Conaway"	"Stockard Channing"	"English"
1387	Action	Horror	null	null	"null"	"Steven Spielberg"	"Richard Dreyfuss"	"Roy Scheider"	"Robert Shaw"	"Lorraine Gary"	"English"
1391	Action	Comedy	Sci-Fi	null	"null"	"Tim Burton"	"Jack Nicholson"	"Glenn Close"	"Annette Bening"	"Pierce Brosnan"	"English"
1393	Drama	Romance	null	null	"null"	"Cameron Crowe"	"Tom Cruise"	"Cuba Gooding Jr."	"Kelly Preston"	"RenÃ©e Zellweger"	"English"
1394	Comedy	null	null	null	"null"	"Joel Coen"	"Nicolas Cage"	"John Goodman"	"Trey Wilson"	"Holly Hunter"	"English"
1485	Comedy	null	null	null	"null"	"Tom Shadyac"	"Jim Carrey"	"Justin Cooper"	"Cary Elwes"	"Maura Tierney"	"English"
1500	Comedy	Crime	Romance	Thriller	"null"	"George Armitage"	"Alan Arkin"	"Dan Aykroyd"	"John Cusack"	"Minnie Driver"	"English"
1517	Action	Adventure	Comedy	null	"null"	"Jay Roach"	"Mike Myers"	"Michael York"	"Elizabeth Hurley"	"Mimi Rogers"	"English"
1527	Action	Adventure	Fantasy	Sci-Fi	"null"	"Luc Besson"	"Bruce Willis"	"Gary Oldman"	"Milla Jovovich"	"Ian Holm"	"English"
1544	Action	Adventure	Sci-Fi	Thriller	"null"	"Steven Spielberg"	"Pete Postlethwaite"	"Jeff Goldblum"	"Vince Vaughn"	"Arliss Howard"	"English"
1552	Action	Adventure	Thriller	null	"null"	"Simon West"	"Nicolas Cage"	"John Cusack"	"John Malkovich"	"Ving Rhames"	"English"
1573	Action	Crime	Drama	Thriller	"null"	"John Woo"	"Nicolas Cage"	"Alessandro Nivola"	"John Travolta"	"Joan Allen"	"English"
1580	Action	Comedy	Sci-Fi	null	"null"	"Barry Sonnenfeld"	"Tommy Lee Jones"	"Will Smith"	"Linda Fiorentino"	"Vincent DOnofrio"	"English"
1584	Drama	Sci-Fi	null	null	"null"	"Robert Zemeckis"	"Jodie Foster"	"David Morse"	"Geoffrey Blake"	"Matthew McConaughey"	"English"
1608	Action	Thriller	null	null	"null"	"Wolfgang Petersen"	"Harrison Ford"	"Gary Oldman"	"Glenn Close"	"Wendy Crewson"	"English"
1610	Action	Adventure	Thriller	null	"null"	"John McTiernan"	"Alec Baldwin"	"Sean Connery"	"Scott Glenn"	"Sam Neill"	"English"
1617	Crime	Film-Noir	Mystery	Thriller	"null"	"Curtis Hanson"	"James Cromwell"	"Russell Crowe"	"Guy Pearce"	"Kevin Spacey"	"English"
1625	Adventure	Film-Noir	Mystery	Thriller	"null"	"David Fincher"	"Michael Douglas"	"Sean Penn"	"Deborah Kara Unger"	"James Rebhorn"	"English"
1641	Comedy	Drama	null	null	"null"	"Peter Cattaneo"	"Mark Addy"	"Robert Carlyle"	"Steve Huison"	"William Snape"	"English"
1653	Drama	Sci-Fi	Thriller	null	"null"	"Andrew Niccol"	"Xander Berkeley"	"Ethan Hawke"	"Jude Law"	"Gore Vidal"	"English"
1673	Drama	null	null	null	"null"	"Paul Thomas Anderson"	"Burt Reynolds"	"Mark Wahlberg"	"Don Cheadle"	"Luis GuzmÃ¡n"	"English"
1674	Drama	Romance	Thriller	null	"null"	"Peter Weir"	"Harrison Ford"	"Kelly McGillis"	"Lukas Haas"	"Josef Sommer"	"English"
1676	Action	Adventure	Sci-Fi	Thriller	"War"	"Paul Verhoeven"	"Casper Van Dien"	"Dina Meyer"	"Denise Richards"	"Jake Busey"	"English"
1682	Drama	null	null	null	"null"	"Peter Weir"	"Jim Carrey"	"Noah Emmerich"	"Ed Harris"	"Laura Linney"	"English"
1704	Drama	Romance	null	null	"null"	"Gus Van Sant"	"Ben Affleck"	"Matt Damon"	"Stellan SkarsgÃ¥rd"	"Robin Williams"	"English"
1721	Drama	Romance	null	null	"null"	"James Cameron"	"Leonardo DiCaprio"	"Kate Winslet"	"Billy Zane"	"Kathy Bates"	"English"
1732	Comedy	Crime	null	null	"null"	"Joel Coen"	"Jeff Bridges"	"Steve Buscemi"	"John Goodman"	"Julianne Moore"	"English"
1784	Comedy	Drama	Romance	null	"null"	"James L. Brooks"	"Cuba Gooding Jr."	"Greg Kinnear"	"Jack Nicholson"	"Helen Hunt"	"English"
1917	Action	Romance	Sci-Fi	Thriller	"null"	"Michael Bay"	"Ben Affleck"	"Billy Bob Thornton"	"Bruce Willis"	"Liv Tyler"	"English"
1923	Comedy	Romance	null	null	"null"	"Bobby Farrelly"	"Cameron Diaz"	"Matt Dillon"	"Ben Stiller"	"Lee Evans"	"English"
1954	Drama	null	null	null	"null"	"John G. Avildsen"	"Sylvester Stallone"	"Carl Weathers"	"Burt Young"	"Talia Shire"	"English"
1961	Drama	null	null	null	"null"	"Barry Levinson"	"Tom Cruise"	"Dustin Hoffman"	"Gerald R. Molen"	"Valeria Golino"	"English"
1968	Comedy	Drama	null	null	"null"	"John Hughes"	"Emilio Estevez"	"Anthony Michael Hall"	"Molly Ringwald"	"Ally Sheedy"	"English"
1994	Horror	Thriller	null	null	"null"	"Tobe Hooper"	"JoBeth Williams"	"Craig T. Nelson"	"Dominique Dunne"	"Beatrice Straight"	"English"
1997	Horror	Mystery	null	null	"null"	"William Friedkin"	"Ellen Burstyn"	"Linda Blair"	"Max von Sydow"	"Lee J. Cobb"	"null"
2000	Action	Comedy	Crime	Drama	"null"	"Richard Donner"	"Mel Gibson"	"Danny Glover"	"Gary Busey"	"Mitch Ryan"	"English"
2001	Action	Comedy	Crime	Drama	"null"	"Richard Donner"	"Mel Gibson"	"Danny Glover"	"Joss Ackland"	"Joe Pesci"	"English"
2003	Comedy	Horror	null	null	"null"	"Joe Dante"	"Hoyt Axton"	"Zach Galligan"	"Phoebe Cates"	"Frances Lee McCain"	"English"
2011	Adventure	Comedy	Sci-Fi	null	"null"	"Robert Zemeckis"	"Michael J. Fox"	"Christopher Lloyd"	"Lea Thompson"	"Thomas F. Wilson"	"English"
2012	Adventure	Comedy	Sci-Fi	Western	"null"	"Robert Zemeckis"	"Michael J. Fox"	"Christopher Lloyd"	"Lea Thompson"	"Thomas F. Wilson"	"English"
2028	Action	Drama	War	null	"null"	"Steven Spielberg"	"Tom Hanks"	"Tom Sizemore"	"Edward Burns"	"Vin Diesel"	"null"
2054	Adventure	Children	Comedy	Fantasy	"Sci-Fi"	"Joe Johnston"	"Matt Frewer"	"Rick Moranis"	"Marcia Strassman"	"Kristine Sutherland"	"English"
2100	Comedy	Fantasy	Romance	null	"null"	"Ron Howard"	"John Candy"	"Tom Hanks"	"Eugene Levy"	"Daryl Hannah"	"English"
2115	Action	Adventure	Fantasy	null	"null"	"Steven Spielberg"	"Harrison Ford"	"Amrish Puri"	"Roshan Seth"	"Kate Capshaw"	"English"
2124	Children	Comedy	Fantasy	null	"null"	"Barry Sonnenfeld"	"Raul Julia"	"Christopher Lloyd"	"Anjelica Huston"	"Elizabeth Wilson"	"English"
2174	Comedy	Fantasy	null	null	"null"	"Tim Burton"	"Alec Baldwin"	"Jeffrey Jones"	"Michael Keaton"	"Geena Davis"	"English"
2194	Action	Crime	Drama	null	"null"	"Brian De Palma"	"Sean Connery"	"Kevin Costner"	"Andy Garcia"	"Robert De Niro"	"English"
2268	Crime	Drama	Thriller	null	"null"	"Rob Reiner"	"Tom Cruise"	"Jack Nicholson"	"Demi Moore"	"Kevin Bacon"	"English"
2291	Comedy	Drama	Romance	null	"null"	"Tim Burton"	"Johnny Depp"	"Anthony Michael Hall"	"Winona Ryder"	"Dianne Wiest"	"English"
2302	Comedy	null	null	null	"null"	"Jonathan Lynn"	"Joe Pesci"	"Ralph Macchio"	"Marisa Tomei"	"Mitchell Whitfield"	"English"
2321	Comedy	Drama	Fantasy	null	"null"	"Gary Ross"	"Tobey Maguire"	"Reese Witherspoon"	"William H. Macy"	"Joan Allen"	"English"
2353	Action	Thriller	null	null	"null"	"Tony Scott"	"Will Smith"	"Gene Hackman"	"Jon Voight"	"Lisa Bonet"	"English"
2355	Adventure	Animation	Children	Comedy	"null"	"John Lasseter"	"Dave Foley"	"Kevin Spacey"	"Julia Louis-Dreyfus"	"Hayden Panettiere"	"English"
2396	Comedy	Drama	Romance	null	"null"	"John Madden"	"Joseph Fiennes"	"Gwyneth Paltrow"	"Tim McMullen"	"Steve ODonnell"	"English"
2406	Action	Adventure	Comedy	Romance	"null"	"Robert Zemeckis"	"Danny DeVito"	"Michael Douglas"	"Zack Norman"	"Kathleen Turner"	"English"
2420	Drama	null	null	null	"null"	"John G. Avildsen"	"Martin Kove"	"Ralph Macchio"	"Pat Morita"	"Elisabeth Shue"	"English"
2455	Drama	Horror	Sci-Fi	Thriller	"null"	"David Cronenberg"	"Jeff Goldblum"	"Geena Davis"	"John Getz"	"Joy Boushel"	"English"
2470	Adventure	Comedy	null	null	"null"	"Peter Faiman"	"Paul Hogan"	"Linda Kozlowski"	"David Gulpilil"	"John Meillon"	"English"
2502	Comedy	Crime	null	null	"null"	"Mike Judge"	"David Herman"	"Ron Livingston"	"Ajay Naidu"	"Jennifer Aniston"	"English"
2529	Action	Drama	Sci-Fi	null	"null"	"Franklin J. Schaffner"	"Charlton Heston"	"Roddy McDowall"	"Kim Hunter"	"Maurice Evans"	"English"
